document_id,party_id,role,name_row_id
zaf-pcc-jet-ip,presidential-climate-commission,author,presidential-climate-commission.name.1
zaf-jet-implementation-plan-2023-2027,jet-project-management-unit,author,jet-project-management-unit.name.1
idn-cipp-portal,jetp-indonesia-secretariat,author,jetp-indonesia-secretariat.name.1
idn-cipp-2023,jetp-indonesia-secretariat,author,jetp-indonesia-secretariat.name.1
idn-cipp-2023-cpr-mirror,climate-policy-radar,host,climate-policy-radar.name.1
vnm-moit-portal,ministry-of-industry-and-trade,author,ministry-of-industry-and-trade.name.1
vnm-rmp-2023,european-external-action-service,author,european-external-action-service.name.1
sen-eu-portal,european-commission,author,european-commission.name.1
sen-investment-plan-l4,ministry-of-energy-petroleum-and-mines,author,ministry-of-energy-petroleum-and-mines.name.1
sen-investment-plan-l4-mirror,vie-publique-sn,host,vie-publique-sn.name.1
zaf-jet-pmu-resource-hub,jet-project-management-unit,author,jet-project-management-unit.name.1
zaf-jet-pmu-news,jet-project-management-unit,author,jet-project-management-unit.name.1
zaf-jet-pmu-projects,jet-project-management-unit,author,jet-project-management-unit.name.1
zaf-jet-ip-2023-2027,jet-project-management-unit,author,jet-project-management-unit.name.1
zaf-jet-quarterly-2024-q3,jet-project-management-unit,author,jet-project-management-unit.name.1
zaf-jet-quarterly-2024-q4,jet-project-management-unit,author,jet-project-management-unit.name.1
zaf-jet-quarterly-2025-q1,jet-project-management-unit,author,jet-project-management-unit.name.1
zaf-jet-quarterly-2025-q2,jet-project-management-unit,author,jet-project-management-unit.name.1
zaf-jet-quarterly-2025-q3,jet-project-management-unit,author,jet-project-management-unit.name.1
zaf-jet-quarterly-2025-q4,jet-project-management-unit,author,jet-project-management-unit.name.1
zaf-jet-quarterly-2026-q1,jet-project-management-unit,author,jet-project-management-unit.name.1
zaf-jet-grants-register-2024-q2,jet-project-management-unit,author,jet-project-management-unit.name.1
zaf-jet-grants-register-2024-q3,jet-project-management-unit,author,jet-project-management-unit.name.1
