event_id,project_id,country,event_date,scope,financial_status,funder,window,instrument,amount_original,currency_original,amount_usd,conversion_method,source_id,document_sha256,locator,verification_status,notes
zaf-register-actip001-2026-03-30,zaf-register-actip001,ZAF,2021-11-01,jetp_strict,signed,ACT-IP,Skills,Grants,2280000,USD,2280000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID ACTIP001",official_register,Status=D. Completed; project implementation status is not treated as disbursement evidence
zaf-register-actip002-2026-03-30,zaf-register-actip002,ZAF,2023-01-01,jetp_strict,signed,ACT-IP,JT-Mpumalanga,Grants,47720000,USD,47720000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID ACTIP002",official_register,Status=B. Approved; project implementation status is not treated as disbursement evidence
zaf-register-can001-2026-03-30,zaf-register-can001,ZAF,2021-11-01,jetp_strict,signed,Canada,Skills,Grants,790000,CAD,592500,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID CAN001",official_register,Status=C. Implementation Phase; project implementation status is not treated as disbursement evidence
zaf-register-can002-2026-03-30,zaf-register-can002,ZAF,2021-11-01,jetp_strict,signed,Canada,Skills,Grants,250000,CAD,187500,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID CAN002",official_register,Status=C. Implementation Phase; project implementation status is not treated as disbursement evidence
zaf-register-can003-2026-03-30,zaf-register-can003,ZAF,2023-01-01,jetp_strict,signed,Canada,Skills,Grants,400000,CAD,300000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID CAN003",official_register,Status=C. Implementation Phase; project implementation status is not treated as disbursement evidence
zaf-register-can004-2026-03-30,zaf-register-can004,ZAF,2023-03-01,jetp_strict,signed,Canada,Skills,Grants,210000,CAD,157500,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID CAN004",official_register,Status=C. Implementation Phase; project implementation status is not treated as disbursement evidence
zaf-register-can005-2026-03-30,zaf-register-can005,ZAF,2026-01-01,jetp_strict,signed,Canada,Skills,Grants,1500000,CAD,1125000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID CAN005",official_register,Status=B. Approved; Institutional / South African Partner=JET PMU; DHET; SETAs; project implementation status is not treated as disbursement evidence
zaf-register-can006-2026-03-30,zaf-register-can006,ZAF,2026-01-01,jetp_strict,signed,Canada,Skills,Grants,1250000,CAD,937500,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID CAN006",official_register,Status=B. Approved; Institutional / South African Partner=JET PMU; BUSA; PCC; project implementation status is not treated as disbursement evidence
zaf-register-can007-2026-03-30,zaf-register-can007,ZAF,2026-01-01,jetp_strict,signed,Canada,Skills,Grants,1000000,CAD,750000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID CAN007",official_register,Status=B. Approved; Institutional / South African Partner=DHET; TVET Colleges; SETAs; project implementation status is not treated as disbursement evidence
zaf-register-can008-2026-03-30,zaf-register-can008,ZAF,2026-01-01,jetp_strict,signed,Canada,Skills,Grants,1250000,CAD,937500,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID CAN008",official_register,Status=B. Approved; Institutional / South African Partner=DHET; SETAs; Private Sector; project implementation status is not treated as disbursement evidence
zaf-register-dk001-2026-03-30,zaf-register-dk001,ZAF,2021-11-01,jetp_strict,signed,Denmark,Electricity,Grants,18130000,DKK,2719500,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK001",official_register,"Status=C. Implementation Phase; Institutional / South African Partner=Eskom, NERSA, DMRE, IPPO; project implementation status is not treated as disbursement evidence"
zaf-register-dk002-2026-03-30,zaf-register-dk002,ZAF,2021-11-01,jetp_strict,signed,Denmark,Electricity,Grants,22159000,DKK,3323850,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK002",official_register,"Status=C. Implementation Phase; Institutional / South African Partner=Eskom, NERSA, DMRE, IPPO; project implementation status is not treated as disbursement evidence"
zaf-register-dk003-2026-03-30,zaf-register-dk003,ZAF,2022-10-11,jetp_strict,signed,Denmark,JT-Mpumalanga,Grants,1087000,DKK,152180,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK003",official_register,"Status=D. Completed; Institutional / South African Partner=GreenCape, Mpumalanga Green Cluster Agency (MGCA); project implementation status is not treated as disbursement evidence"
zaf-register-dk004-2026-03-30,zaf-register-dk004,ZAF,2022-10-11,jetp_strict,signed,Denmark,JT-Mpumalanga,Grants,2663000,DKK,372820.00000000006,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK004",official_register,"Status=D. Completed; Institutional / South African Partner=GreenCape Alternative Service Delivery Unit (ASDU), Community Organisation Research Council (CORC), MGCA; Residents of Nomzamo Agricultural Village in Ermelo, Mpumalanga; project implementation status is not treated as disbursement evidence"
zaf-register-dk005-2026-03-30,zaf-register-dk005,ZAF,2023-01-01,jetp_strict,signed,Denmark,JT-Mpumalanga,Grants,15000000,DKK,2250000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK005",official_register,"Status=C. Implementation Phase; Institutional / South African Partner=SANEDI, CSIR, SAWS; project implementation status is not treated as disbursement evidence"
zaf-register-dk006-2026-03-30,zaf-register-dk006,ZAF,2022-01-01,jetp_strict,signed,Denmark,Electricity,Grants,21057000,DKK,3158550,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK006",official_register,"Status=C. Implementation Phase; Institutional / South African Partner=NBI, NUMSA, NUM, BUSA, SEIFSA, Western Cape Province; project implementation status is not treated as disbursement evidence"
zaf-register-dk008-2026-03-30,zaf-register-dk008,ZAF,2022-01-01,jetp_strict,signed,Denmark,Skills,Grants,6300000,DKK,945000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK008",official_register,"Status=C. Implementation Phase; Institutional / South African Partner=Program partner institutions in South Africa (ministries, metros, utilities, and research institutions, etc.); project implementation status is not treated as disbursement evidence"
zaf-register-dk009-2026-03-30,zaf-register-dk009,ZAF,2022-01-01,jetp_strict,signed,Denmark,Skills,Grants,11250000,DKK,1687500,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK009",official_register,"Status=C. Implementation Phase; Institutional / South African Partner=Program partner institutions in South Africa (ministries, metros, utilities, and research institutions, etc.); project implementation status is not treated as disbursement evidence"
zaf-register-dk010-2026-03-30,zaf-register-dk010,ZAF,2022-01-01,jetp_strict,signed,Denmark,Skills,Grants,42000000,DKK,6300000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK010",official_register,Status=C. Implementation Phase; Institutional / South African Partner=Research institutions in South Africa; project implementation status is not treated as disbursement evidence
