referent_row_id,line_id,referent_kind,referent_id,status,method,method_version,confidence,justification_line_ids,decided_at,decided_by,supersedes,notes
0875.agreement.agreement-zaf-register-actip001,zaf-jet-investment-register-q1-2026-overall-data-1,agreement,agreement-zaf-register-actip001,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-1,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-actip002,zaf-jet-investment-register-q1-2026-overall-data-2,agreement,agreement-zaf-register-actip002,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-2,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-can001,zaf-jet-investment-register-q1-2026-overall-data-3,agreement,agreement-zaf-register-can001,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-3,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-can002,zaf-jet-investment-register-q1-2026-overall-data-4,agreement,agreement-zaf-register-can002,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-4,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-can003,zaf-jet-investment-register-q1-2026-overall-data-5,agreement,agreement-zaf-register-can003,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-5,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-can004,zaf-jet-investment-register-q1-2026-overall-data-6,agreement,agreement-zaf-register-can004,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-6,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-can005,zaf-jet-investment-register-q1-2026-overall-data-7,agreement,agreement-zaf-register-can005,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-7,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-can006,zaf-jet-investment-register-q1-2026-overall-data-8,agreement,agreement-zaf-register-can006,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-8,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-can007,zaf-jet-investment-register-q1-2026-overall-data-9,agreement,agreement-zaf-register-can007,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-9,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-can008,zaf-jet-investment-register-q1-2026-overall-data-10,agreement,agreement-zaf-register-can008,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-10,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-dk001,zaf-jet-investment-register-q1-2026-overall-data-11,agreement,agreement-zaf-register-dk001,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-11,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-dk002,zaf-jet-investment-register-q1-2026-overall-data-12,agreement,agreement-zaf-register-dk002,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-12,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-dk003,zaf-jet-investment-register-q1-2026-overall-data-13,agreement,agreement-zaf-register-dk003,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-13,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-dk004,zaf-jet-investment-register-q1-2026-overall-data-14,agreement,agreement-zaf-register-dk004,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-14,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-dk005,zaf-jet-investment-register-q1-2026-overall-data-15,agreement,agreement-zaf-register-dk005,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-15,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-dk006,zaf-jet-investment-register-q1-2026-overall-data-16,agreement,agreement-zaf-register-dk006,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-16,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-dk008,zaf-jet-investment-register-q1-2026-overall-data-17,agreement,agreement-zaf-register-dk008,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-17,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-dk009,zaf-jet-investment-register-q1-2026-overall-data-18,agreement,agreement-zaf-register-dk009,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-18,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-dk010,zaf-jet-investment-register-q1-2026-overall-data-19,agreement,agreement-zaf-register-dk010,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-19,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-dk011,zaf-jet-investment-register-q1-2026-overall-data-20,agreement,agreement-zaf-register-dk011,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-20,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-dk012,zaf-jet-investment-register-q1-2026-overall-data-21,agreement,agreement-zaf-register-dk012,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-21,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-dk013,zaf-jet-investment-register-q1-2026-overall-data-22,agreement,agreement-zaf-register-dk013,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-22,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-dk014,zaf-jet-investment-register-q1-2026-overall-data-23,agreement,agreement-zaf-register-dk014,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-23,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-dk015,zaf-jet-investment-register-q1-2026-overall-data-24,agreement,agreement-zaf-register-dk015,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-24,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-dk018,zaf-jet-investment-register-q1-2026-overall-data-25,agreement,agreement-zaf-register-dk018,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-25,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-dk019,zaf-jet-investment-register-q1-2026-overall-data-26,agreement,agreement-zaf-register-dk019,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-26,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-dk020,zaf-jet-investment-register-q1-2026-overall-data-27,agreement,agreement-zaf-register-dk020,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-27,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-eu001,zaf-jet-investment-register-q1-2026-overall-data-28,agreement,agreement-zaf-register-eu001,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-28,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-eu002,zaf-jet-investment-register-q1-2026-overall-data-29,agreement,agreement-zaf-register-eu002,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-29,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-eu003,zaf-jet-investment-register-q1-2026-overall-data-30,agreement,agreement-zaf-register-eu003,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-30,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-eu004,zaf-jet-investment-register-q1-2026-overall-data-31,agreement,agreement-zaf-register-eu004,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-31,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-eu005,zaf-jet-investment-register-q1-2026-overall-data-32,agreement,agreement-zaf-register-eu005,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-32,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-eu006,zaf-jet-investment-register-q1-2026-overall-data-33,agreement,agreement-zaf-register-eu006,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-33,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-eu007,zaf-jet-investment-register-q1-2026-overall-data-34,agreement,agreement-zaf-register-eu007,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-34,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-eu008,zaf-jet-investment-register-q1-2026-overall-data-35,agreement,agreement-zaf-register-eu008,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-35,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-eu010,zaf-jet-investment-register-q1-2026-overall-data-36,agreement,agreement-zaf-register-eu010,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-36,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-eu011,zaf-jet-investment-register-q1-2026-overall-data-37,agreement,agreement-zaf-register-eu011,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-37,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-eu012,zaf-jet-investment-register-q1-2026-overall-data-38,agreement,agreement-zaf-register-eu012,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-38,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-eu013,zaf-jet-investment-register-q1-2026-overall-data-39,agreement,agreement-zaf-register-eu013,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-39,2026-09-24,scripts/jetp/build_reconciliation.py,,
0875.agreement.agreement-zaf-register-eu014,zaf-jet-investment-register-q1-2026-overall-data-40,agreement,agreement-zaf-register-eu014,accepted,register_id,1,1,zaf-jet-investment-register-q1-2026-overall-data-40,2026-09-24,scripts/jetp/build_reconciliation.py,,
