line_id,country,sha256,locator,ordinal,label,classification,own_status,own_status_axis,own_sector,groups,recorded_at,notes
line-1160-sen-diass-kfw-reported-funding,SEN,ff54ba565532a94ea477d96ea07ac85b5239dbfd00b3dd186467d92700109bf1,"Single-page factsheet, Prochaines étapes / impacts, KfW contribution",1,Prochaines étapes / impacts: AFD factsheet attributes EUR 18 million Diass storage financing to KfW,named_item,,,,,2026-09-25,Ticket 1160 source-row citation for legacy sen-diass-kfw-reported-funding; announced is not a stronger financial or physical claim.
line-1160-sen-diass-afd-reported-funding,SEN,ff54ba565532a94ea477d96ea07ac85b5239dbfd00b3dd186467d92700109bf1,"Single-page factsheet, Prochaines étapes / impacts, AFD contribution",2,Prochaines étapes / impacts: AFD factsheet attributes EUR 8 million Diass storage financing to AFD,named_item,,,,,2026-09-25,Ticket 1160 source-row citation for legacy sen-diass-afd-reported-funding; announced is not a stronger financial or physical claim.
line-1160-sen-saloum-reported-german-allocation-2026,SEN,d7f2d451cb716eed8bd175f9bf2c5d8a79e76a39b2abf6cbf0c9024a45f8fbd0,"AAO 30/2026 p. 1, paragraphs 2-3",3,AAO 30/2026 p. 1 §2: Germany allocated financial aid for Saloum electrification; amount undisclosed,named_item,,,,,2026-09-25,Ticket 1160 source-row citation for legacy sen-saloum-reported-german-allocation-2026; announced is not a stronger financial or physical claim.
line-1160-sen-plan-cost-annex-03,SEN,97c36b242257462f024a934baee6bed3aa02fe0e4917f076d7b865701db65dca,"Printed p.42, named project in summary cost table, M EUR, Installation d’unités pilote de briquetage, pour la production de briquettes de charbon alternatives au charbon de bois comme solution de lutte contre la déforestation, à proximité des forêts classées de la Casamance",4,"Installation d’unités pilote de briquetage, pour la production de briquettes de charbon alternatives au charbon de bois comme solution de lutte contre la déforestation, à proximité des forêts classées de la Casamance: estimated plan cost 0.3 million EUR; need, not secured finance",named_item,,,,,2026-09-25,Ticket 1160 source-row citation for legacy sen-plan-cost-annex-03; need is not a stronger financial or physical claim.
line-1160-sen-plan-cost-annex-05,SEN,97c36b242257462f024a934baee6bed3aa02fe0e4917f076d7b865701db65dca,"Printed p.42, named project in summary cost table, M EUR, Electrification de 350 Villages Par Mini-Centrales Solaires",5,"Electrification de 350 Villages Par Mini-Centrales Solaires: estimated plan cost 114.3 million EUR; need, not secured finance",named_item,,,,,2026-09-25,Ticket 1160 source-row citation for legacy sen-plan-cost-annex-05; need is not a stronger financial or physical claim.
line-1160-sen-plan-cost-annex-06,SEN,97c36b242257462f024a934baee6bed3aa02fe0e4917f076d7b865701db65dca,"Printed p.42, named project in summary cost table, M EUR, Electrification de Villages Par Mini-Centrales Solaires",6,"Electrification de Villages Par Mini-Centrales Solaires: estimated plan cost 100.6 million EUR; need, not secured finance",named_item,,,,,2026-09-25,Ticket 1160 source-row citation for legacy sen-plan-cost-annex-06; need is not a stronger financial or physical claim.
line-1160-sen-plan-cost-annex-07,SEN,97c36b242257462f024a934baee6bed3aa02fe0e4917f076d7b865701db65dca,"Printed p.42, named project in summary cost table, M EUR, Projet d’intégration de centrales solaires au réseau dans 600 villages par injection",7,"Projet d’intégration de centrales solaires au réseau dans 600 villages par injection: estimated plan cost 114.3 million EUR; need, not secured finance",named_item,,,,,2026-09-25,Ticket 1160 source-row citation for legacy sen-plan-cost-annex-07; need is not a stronger financial or physical claim.
line-1160-sen-plan-cost-annex-08,SEN,97c36b242257462f024a934baee6bed3aa02fe0e4917f076d7b865701db65dca,"Printed p.43, named project in summary cost table, M EUR, Eclairage général efficace",8,"Eclairage général efficace: estimated plan cost 25.3 million EUR; need, not secured finance",named_item,,,,,2026-09-25,Ticket 1160 source-row citation for legacy sen-plan-cost-annex-08; need is not a stronger financial or physical claim.
line-1160-sen-plan-cost-annex-09,SEN,97c36b242257462f024a934baee6bed3aa02fe0e4917f076d7b865701db65dca,"Printed p.43, named project in summary cost table, M EUR, Eclairage public efficace",9,"Eclairage public efficace: estimated plan cost 44.6 million EUR; need, not secured finance",named_item,,,,,2026-09-25,Ticket 1160 source-row citation for legacy sen-plan-cost-annex-09; need is not a stronger financial or physical claim.
line-1160-sen-plan-cost-annex-10,SEN,97c36b242257462f024a934baee6bed3aa02fe0e4917f076d7b865701db65dca,"Printed p.43, named project in summary cost table, M EUR, Ecofridges",10,"Ecofridges: estimated plan cost 9.8 million EUR; need, not secured finance",named_item,,,,,2026-09-25,Ticket 1160 source-row citation for legacy sen-plan-cost-annex-10; need is not a stronger financial or physical claim.
