old_id,disposition,new_id,basis_method,line_id
zaf-register-actip001,agreement,agreement-zaf-register-actip001,register_id,zaf-jet-investment-register-q1-2026-overall-data-1
zaf-register-actip002,agreement,agreement-zaf-register-actip002,register_id,zaf-jet-investment-register-q1-2026-overall-data-2
zaf-register-can001,agreement,agreement-zaf-register-can001,register_id,zaf-jet-investment-register-q1-2026-overall-data-3
zaf-register-can002,agreement,agreement-zaf-register-can002,register_id,zaf-jet-investment-register-q1-2026-overall-data-4
zaf-register-can003,agreement,agreement-zaf-register-can003,register_id,zaf-jet-investment-register-q1-2026-overall-data-5
zaf-register-can004,agreement,agreement-zaf-register-can004,register_id,zaf-jet-investment-register-q1-2026-overall-data-6
zaf-register-can005,agreement,agreement-zaf-register-can005,register_id,zaf-jet-investment-register-q1-2026-overall-data-7
zaf-register-can006,agreement,agreement-zaf-register-can006,register_id,zaf-jet-investment-register-q1-2026-overall-data-8
zaf-register-can007,agreement,agreement-zaf-register-can007,register_id,zaf-jet-investment-register-q1-2026-overall-data-9
zaf-register-can008,agreement,agreement-zaf-register-can008,register_id,zaf-jet-investment-register-q1-2026-overall-data-10
zaf-register-dk001,agreement,agreement-zaf-register-dk001,register_id,zaf-jet-investment-register-q1-2026-overall-data-11
zaf-register-dk002,agreement,agreement-zaf-register-dk002,register_id,zaf-jet-investment-register-q1-2026-overall-data-12
zaf-register-dk003,agreement,agreement-zaf-register-dk003,register_id,zaf-jet-investment-register-q1-2026-overall-data-13
zaf-register-dk004,agreement,agreement-zaf-register-dk004,register_id,zaf-jet-investment-register-q1-2026-overall-data-14
zaf-register-dk005,agreement,agreement-zaf-register-dk005,register_id,zaf-jet-investment-register-q1-2026-overall-data-15
zaf-register-dk006,agreement,agreement-zaf-register-dk006,register_id,zaf-jet-investment-register-q1-2026-overall-data-16
zaf-register-dk008,agreement,agreement-zaf-register-dk008,register_id,zaf-jet-investment-register-q1-2026-overall-data-17
zaf-register-dk009,agreement,agreement-zaf-register-dk009,register_id,zaf-jet-investment-register-q1-2026-overall-data-18
zaf-register-dk010,agreement,agreement-zaf-register-dk010,register_id,zaf-jet-investment-register-q1-2026-overall-data-19
zaf-register-dk011,agreement,agreement-zaf-register-dk011,register_id,zaf-jet-investment-register-q1-2026-overall-data-20
zaf-register-dk012,agreement,agreement-zaf-register-dk012,register_id,zaf-jet-investment-register-q1-2026-overall-data-21
zaf-register-dk013,agreement,agreement-zaf-register-dk013,register_id,zaf-jet-investment-register-q1-2026-overall-data-22
zaf-register-dk014,agreement,agreement-zaf-register-dk014,register_id,zaf-jet-investment-register-q1-2026-overall-data-23
zaf-register-dk015,agreement,agreement-zaf-register-dk015,register_id,zaf-jet-investment-register-q1-2026-overall-data-24
zaf-register-dk018,agreement,agreement-zaf-register-dk018,register_id,zaf-jet-investment-register-q1-2026-overall-data-25
zaf-register-dk019,agreement,agreement-zaf-register-dk019,register_id,zaf-jet-investment-register-q1-2026-overall-data-26
zaf-register-dk020,agreement,agreement-zaf-register-dk020,register_id,zaf-jet-investment-register-q1-2026-overall-data-27
zaf-register-eu001,agreement,agreement-zaf-register-eu001,register_id,zaf-jet-investment-register-q1-2026-overall-data-28
zaf-register-eu002,agreement,agreement-zaf-register-eu002,register_id,zaf-jet-investment-register-q1-2026-overall-data-29
zaf-register-eu003,agreement,agreement-zaf-register-eu003,register_id,zaf-jet-investment-register-q1-2026-overall-data-30
zaf-register-eu004,agreement,agreement-zaf-register-eu004,register_id,zaf-jet-investment-register-q1-2026-overall-data-31
zaf-register-eu005,agreement,agreement-zaf-register-eu005,register_id,zaf-jet-investment-register-q1-2026-overall-data-32
zaf-register-eu006,agreement,agreement-zaf-register-eu006,register_id,zaf-jet-investment-register-q1-2026-overall-data-33
zaf-register-eu007,agreement,agreement-zaf-register-eu007,register_id,zaf-jet-investment-register-q1-2026-overall-data-34
zaf-register-eu008,agreement,agreement-zaf-register-eu008,register_id,zaf-jet-investment-register-q1-2026-overall-data-35
zaf-register-eu010,agreement,agreement-zaf-register-eu010,register_id,zaf-jet-investment-register-q1-2026-overall-data-36
zaf-register-eu011,agreement,agreement-zaf-register-eu011,register_id,zaf-jet-investment-register-q1-2026-overall-data-37
zaf-register-eu012,agreement,agreement-zaf-register-eu012,register_id,zaf-jet-investment-register-q1-2026-overall-data-38
zaf-register-eu013,agreement,agreement-zaf-register-eu013,register_id,zaf-jet-investment-register-q1-2026-overall-data-39
zaf-register-eu014,agreement,agreement-zaf-register-eu014,register_id,zaf-jet-investment-register-q1-2026-overall-data-40
zaf-register-eu015,agreement,agreement-zaf-register-eu015,register_id,zaf-jet-investment-register-q1-2026-overall-data-41
zaf-register-eu016,agreement,agreement-zaf-register-eu016,register_id,zaf-jet-investment-register-q1-2026-overall-data-42
zaf-register-eu017,agreement,agreement-zaf-register-eu017,register_id,zaf-jet-investment-register-q1-2026-overall-data-43
zaf-register-eu018,agreement,agreement-zaf-register-eu018,register_id,zaf-jet-investment-register-q1-2026-overall-data-44
zaf-register-eu019,agreement,agreement-zaf-register-eu019,register_id,zaf-jet-investment-register-q1-2026-overall-data-45
zaf-register-eu020,agreement,agreement-zaf-register-eu020,register_id,zaf-jet-investment-register-q1-2026-overall-data-46
zaf-register-eu021,agreement,agreement-zaf-register-eu021,register_id,zaf-jet-investment-register-q1-2026-overall-data-47
zaf-register-fr001,agreement,agreement-zaf-register-fr001,register_id,zaf-jet-investment-register-q1-2026-overall-data-48
zaf-register-fr002,agreement,agreement-zaf-register-fr002,register_id,zaf-jet-investment-register-q1-2026-overall-data-49
zaf-register-fr003,agreement,agreement-zaf-register-fr003,register_id,zaf-jet-investment-register-q1-2026-overall-data-50
zaf-register-fr004,agreement,agreement-zaf-register-fr004,register_id,zaf-jet-investment-register-q1-2026-overall-data-51
zaf-register-fr005,agreement,agreement-zaf-register-fr005,register_id,zaf-jet-investment-register-q1-2026-overall-data-52
zaf-register-fr006,agreement,agreement-zaf-register-fr006,register_id,zaf-jet-investment-register-q1-2026-overall-data-53
zaf-register-fr007,agreement,agreement-zaf-register-fr007,register_id,zaf-jet-investment-register-q1-2026-overall-data-54
zaf-register-fr009,agreement,agreement-zaf-register-fr009,register_id,zaf-jet-investment-register-q1-2026-overall-data-55
zaf-register-fr010,agreement,agreement-zaf-register-fr010,register_id,zaf-jet-investment-register-q1-2026-overall-data-56
zaf-register-fr011,agreement,agreement-zaf-register-fr011,register_id,zaf-jet-investment-register-q1-2026-overall-data-57
zaf-register-fr012,agreement,agreement-zaf-register-fr012,register_id,zaf-jet-investment-register-q1-2026-overall-data-58
zaf-register-fr013,agreement,agreement-zaf-register-fr013,register_id,zaf-jet-investment-register-q1-2026-overall-data-59
zaf-register-fr014,agreement,agreement-zaf-register-fr014,register_id,zaf-jet-investment-register-q1-2026-overall-data-60
zaf-register-fr015,agreement,agreement-zaf-register-fr015,register_id,zaf-jet-investment-register-q1-2026-overall-data-61
zaf-register-fr016,agreement,agreement-zaf-register-fr016,register_id,zaf-jet-investment-register-q1-2026-overall-data-62
zaf-register-fr017,agreement,agreement-zaf-register-fr017,register_id,zaf-jet-investment-register-q1-2026-overall-data-63
zaf-register-fr019,agreement,agreement-zaf-register-fr019,register_id,zaf-jet-investment-register-q1-2026-overall-data-64
zaf-register-fr020,agreement,agreement-zaf-register-fr020,register_id,zaf-jet-investment-register-q1-2026-overall-data-65
zaf-register-fr021,agreement,agreement-zaf-register-fr021,register_id,zaf-jet-investment-register-q1-2026-overall-data-66
zaf-register-fr022,agreement,agreement-zaf-register-fr022,register_id,zaf-jet-investment-register-q1-2026-overall-data-67
zaf-register-fp001-1,agreement,agreement-zaf-register-fp001-1,register_id,zaf-jet-investment-register-q1-2026-overall-data-68
zaf-register-fp001-2,agreement,agreement-zaf-register-fp001-2,register_id,zaf-jet-investment-register-q1-2026-overall-data-69
zaf-register-fp001-3,agreement,agreement-zaf-register-fp001-3,register_id,zaf-jet-investment-register-q1-2026-overall-data-70
zaf-register-fp001-4,agreement,agreement-zaf-register-fp001-4,register_id,zaf-jet-investment-register-q1-2026-overall-data-71
zaf-register-fp001-5,agreement,agreement-zaf-register-fp001-5,register_id,zaf-jet-investment-register-q1-2026-overall-data-72
zaf-register-gr001,agreement,agreement-zaf-register-gr001,register_id,zaf-jet-investment-register-q1-2026-overall-data-73
zaf-register-gr002,agreement,agreement-zaf-register-gr002,register_id,zaf-jet-investment-register-q1-2026-overall-data-74
zaf-register-gr003,agreement,agreement-zaf-register-gr003,register_id,zaf-jet-investment-register-q1-2026-overall-data-75
zaf-register-gr004,agreement,agreement-zaf-register-gr004,register_id,zaf-jet-investment-register-q1-2026-overall-data-76
zaf-register-gr006,agreement,agreement-zaf-register-gr006,register_id,zaf-jet-investment-register-q1-2026-overall-data-77
zaf-register-gr007,agreement,agreement-zaf-register-gr007,register_id,zaf-jet-investment-register-q1-2026-overall-data-78
zaf-register-gr008,agreement,agreement-zaf-register-gr008,register_id,zaf-jet-investment-register-q1-2026-overall-data-79
