party_id,authority_category,country,notes
acwa-power,operator,,
aeme,operator,,
afd,bilateral_funder,,
african-development-bank,multilateral_funder,,
agence-francaise-de-developpement,bilateral_funder,,
aner,operator,,
aner-via-common-crawl,operator,,
aner-via-italian-trade-agency-ice,operator,,
antara-news,secondary_source,,
arcop,national_government,SEN,
arcop-grant-thornton,national_government,SEN,
artelia-via-gbif,operator,,
aser,operator,,
aser-via-isdb,operator,,
asian-development-bank,multilateral_funder,,
bmn,operator,,
boad,multilateral_funder,,
boad-pyramide-environmental-consultants,multilateral_funder,,
boad-send-senelec-huawei,multilateral_funder,,
boad-senelec,multilateral_funder,,
british-international-investment,bilateral_funder,,
c40-cities-finance-facility,operator,,
cesag-fatou-ndiaye,secondary_source,,
cetud,operator,,
climate-action-africa,bilateral_funder,,
climate-policy-radar,secondary_source,,
coordinating-ministry-for-economic-affairs,national_government,IDN,
department-of-trade-industry-and-competition,national_government,ZAF,
development-bank-of-southern-africa,national_government,ZAF,
energy-efficiency-in-public-buildings-and-infrastructure-programme,national_government,ZAF,
european-commission,ipg,,
european-external-action-service,ipg,,
european-investment-bank,multilateral_funder,,
european-union,ipg,,
federal-government-of-germany,ipg,,
federal-ministry-for-economic-cooperation-and-development,bilateral_funder,,
fondation-energies-pour-le-monde,operator,,
foreign-commonwealth-and-development-office,ipg,,"sources.csv gave authority_category bilateral_funder to zaf-fcdo-jetp-programme-301523, zaf-growth-gateway-devtracker-300812, zaf-growth-gateway-report-2026"
frontier-rare-earths,operator,,
genertec-international,operator,,
genertec-international-cntic,operator,,
giz,bilateral_funder,,sources.csv gave authority_category operator to zaf-eepbip-giz-profile-2023
glasgow-financial-alliance-for-net-zero,private_finance,,
global-energy-alliance-for-people-and-planet,operator,,
government-of-indonesia,national_government,IDN,named only in a joint publication; authority category and country set by review
government-of-senegal,national_government,SEN,
government-of-senegal-via-world-bank,national_government,SEN,
government-of-the-united-kingdom,bilateral_funder,,
government-of-viet-nam,national_government,VNM,
greencape,operator,,
ib-vogt,operator,,
ifc,multilateral_funder,,
institute-for-energy-economics-and-financial-analysis,secondary_source,,
international-aid-transparency-initiative,bilateral_funder,,
international-energy-agency,,,named only in a joint publication; authority category and country set by review; no authority category of the list fits an intergovernmental agency that neither funds nor operates; left for review
international-partners-group,ipg,,named only in a joint publication; authority category and country set by review
japan-international-cooperation-agency,bilateral_funder,,
jet-project-management-unit,jetp_secretariat,ZAF,sources.csv gave authority_category national_government to zaf-jet-implementation-plan-2023-2027
jetp-indonesia-secretariat,jetp_secretariat,IDN,
kfw-development-bank,bilateral_funder,,
marubeni-corporation,operator,,
mepm,national_government,SEN,
mepm-enercap-via-vie-publique-sn,secondary_source,,
mepm-via-dgmarket,national_government,SEN,
mha,national_government,SEN,
mha-via-world-bank,national_government,SEN,
ministry-of-energy-petroleum-and-mines,national_government,SEN,
ministry-of-industry-and-trade,jetp_secretariat,VNM,
mitigation-action-facility,bilateral_funder,,
mrv-energie,operator,,
national-transmission-company-south-africa,operator,,
nrgi,secondary_source,,
oecd-cefim-programme,jetp_secretariat,IDN,
off-grid-europe,operator,,
off-grid-europe-off-grid-africa,operator,,
omvg,operator,,
omvg-projet-energie,operator,,
pln-nusantara-power,operator,,
pln-nusantara-renewables,operator,,
pnb-sn,operator,,
presidency-of-the-french-republic,bilateral_funder,,
presidential-climate-commission,national_government,ZAF,
reuters,secondary_source,,
rts,secondary_source,,
seg-solar,operator,,
semis,operator,,
senegal-budget-ministry,national_government,SEN,
senegal-eiti-mepm-enercap,national_government,SEN,
senegal-mepm,national_government,SEN,
senego,secondary_source,,
senelec,operator,,
senelec-via-afd-dgmarket,operator,,
swedfund,bilateral_funder,,
uasz-senelec-cfpp,operator,,
uk-cop26-presidency,ipg,,
united-tractors,operator,,
vemar,operator,,
vie-publique-sn,secondary_source,,
vietnam-electricity,operator,,
vietnam-prosperity-joint-stock-commercial-bank,operator,,
world-bank,multilateral_funder,,
