metric,value
p1_year_min,1990.0
p1_year_max,2006.0
p1_n_works,1614.0
p1_n_with_doi,744.0
p1_n_covered,651.0
p1_share_covered,40.33457249070632
p1_share_with_doi,46.09665427509294
p1_share_covered_of_doi,87.5
p2_year_min,2007.0
p2_year_max,2014.0
p2_n_works,7400.0
p2_n_with_doi,3703.0
p2_n_covered,3502.0
p2_share_covered,47.32432432432432
p2_share_with_doi,50.04054054054054
p2_share_covered_of_doi,94.57196867404807
p3_year_min,2015.0
p3_year_max,2024.0
p3_n_works,20663.0
p3_n_with_doi,17560.0
p3_n_covered,14317.0
p3_share_covered,69.28809950152447
p3_share_with_doi,84.9828195324977
p3_share_covered_of_doi,81.53189066059225
core_threshold,50.0
core_n,2644.0
core_n_covered,2460.0
core_share_covered,93.04084720121028
all_n_works,33344.0
all_n_with_doi,25411.0
all_n_covered,20252.0
all_share_covered,60.73656429942418
