doi,year,sem_cluster,cit_community
10.1001/jama.2022.20637,2022.0,0,24
10.1001/jamacardio.2022.4517,2022.0,0,24
10.1001/jamadermatol.2022.5429,2022.0,0,24
10.1001/jamahealthforum.2022.4566,2022.0,0,24
10.1001/jamainternmed.2022.5640,2022.0,0,24
10.1001/jamanetworkopen.2022.44300,2022.0,0,24
10.1001/jamaoncol.2022.6371,2022.0,0,24
10.1001/jamaophthalmol.2022.5271,2022.0,0,24
10.1001/jamapediatrics.2022.4899,2022.0,0,24
10.1001/jamapsychiatry.2022.4106,2022.0,0,24
10.1002/2013wr014629,2013.0,1,6
10.1002/2016ef000431,2016.0,0,4
10.1002/2017ef000595,2017.0,0,7
10.1002/2017ef000632,2017.0,1,24
10.1002/2688-8319.12372,2024.0,1,4
10.1002/9781118854945.ch19,2014.0,0,7
10.1002/9781118991978.hces052,2015.0,4,6
10.1002/9781119167402.ch21,2019.0,5,7
10.1002/9781119202134,2012.0,5,12
10.1002/9781119402619.ch15,2020.0,0,7
10.1002/9781119910527.ch10,2023.0,1,4
10.1002/9781394231164.ch14,2024.0,4,4
10.1002/9781394234035.ch6,2024.0,2,12
10.1002/aepp.13254,2022.0,4,4
10.1002/agg2.20372,2023.0,4,4
10.1002/ajim.23262,2021.0,1,24
10.1002/app5.179,2017.0,1,1
10.1002/app5.251,2018.0,1,44
10.1002/app5.254,2018.0,0,7
10.1002/app5.345,2022.0,2,7
10.1002/app5.390,2024.0,1,44
10.1002/aqc.2794,2017.0,2,4
10.1002/aqc.2809,2017.0,4,4
10.1002/aqc.3182,2019.0,0,4
10.1002/bbb.2168,2020.0,4,6
10.1002/bbb.2614,2024.0,4,4
10.1002/bsd2.368,2024.0,2,4
10.1002/bsd2.394,2024.0,2,1
10.1002/bsd2.406,2024.0,0,0
10.1002/bsd2.70012,2024.0,0,7
10.1002/bse.2015,2018.0,0,6
10.1002/bse.2377,2019.0,1,0
10.1002/bse.2543,2020.0,1,44
10.1002/bse.2621,2020.0,4,0
10.1002/bse.2762,2021.0,1,6
10.1002/bse.2771,2020.0,5,0
10.1002/bse.2812,2021.0,1,6
10.1002/bse.3185,2022.0,4,4
10.1002/bse.3208,2022.0,2,0
10.1002/bse.3242,2022.0,2,0
10.1002/bse.3248,2022.0,2,0
10.1002/bse.3285,2022.0,2,0
10.1002/bse.3319,2022.0,1,44
10.1002/bse.3323,2022.0,2,0
10.1002/bse.3352,2023.0,0,24
10.1002/bse.3376,2023.0,1,1
10.1002/bse.3421,2023.0,1,1
10.1002/bse.3452,2023.0,4,0
10.1002/bse.3486,2023.0,4,0
10.1002/bse.3514,2023.0,1,1
10.1002/bse.3517,2023.0,4,0
10.1002/bse.3584,2023.0,2,12
10.1002/bse.3607,2023.0,2,12
10.1002/bse.361,2003.0,2,44
10.1002/bse.3615,2023.0,2,12
10.1002/bse.3663,2023.0,2,0
10.1002/bse.3725,2024.0,4,0
10.1002/bse.3761,2024.0,4,0
10.1002/bse.3825,2024.0,2,12
10.1002/bse.3852,2024.0,2,0
10.1002/bse.3914,2024.0,2,12
10.1002/bse.3951,2024.0,2,1
10.1002/bse.3972,2024.0,2,0
10.1002/bse.4060,2024.0,2,12
10.1002/cl2.119,2013.0,5,4
10.1002/cli2.48,2023.0,4,4
10.1002/cli2.53,2023.0,1,7
10.1002/cli2.70001,2024.0,0,7
