country,source_layer,source_id,source_edition,source_cutoff,source_row_id,label,record_type,reported_status,identity_status,evidence_locator
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-bioenergy-001,PLTBg Air Upas,priority_project_row,priority,named,"Appendix 10.5, row 1"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-bioenergy-002,PLTSa Bandung,priority_project_row,priority,named,"Appendix 10.5, row 2"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-bioenergy-003,PLTBg Kendawangan,priority_project_row,priority,named,"Appendix 10.5, row 3"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-bioenergy-004,PLTBg Nanga Tayap,priority_project_row,priority,named,"Appendix 10.5, row 4"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-bioenergy-005,PLTBg Sei Melayu,priority_project_row,priority,named,"Appendix 10.5, row 5"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-bioenergy-006,PLTBio Bacan,priority_project_row,priority,named,"Appendix 10.5, row 6"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-bioenergy-007,PLTBio Bangka,priority_project_row,priority,named,"Appendix 10.5, row 7"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-bioenergy-008,PLTBio Belitung,priority_project_row,priority,named,"Appendix 10.5, row 8"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-bioenergy-009,PLTBio Buru,priority_project_row,priority,named,"Appendix 10.5, row 9"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-bioenergy-010,PLTBio Dodo,priority_project_row,priority,named,"Appendix 10.5, row 10"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-bioenergy-011,PLTBio Halmahera,priority_project_row,priority,named,"Appendix 10.5, row 11"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-bioenergy-012,PLTBio Kepri,priority_project_row,priority,named,"Appendix 10.5, row 12"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-bioenergy-013,PLTBio Khatulistiwa,priority_project_row,priority,named,"Appendix 10.5, row 13"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-bioenergy-014,PLTBio Mahakam,priority_project_row,priority,named,"Appendix 10.5, row 14"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-bioenergy-015,PLTBio Mahakam,priority_project_row,priority,named,"Appendix 10.5, row 15"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-bioenergy-016,PLTBio Nias,priority_project_row,priority,named,"Appendix 10.5, row 16"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-bioenergy-017,PLTBio Sanana,priority_project_row,priority,named,"Appendix 10.5, row 17"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-bioenergy-018,PLTBio Saumlaki,priority_project_row,priority,named,"Appendix 10.5, row 18"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-bioenergy-019,PLTBio Sulbagsel,priority_project_row,priority,named,"Appendix 10.5, row 19"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-bioenergy-020,PLTBio Sulbagsel,priority_project_row,priority,named,"Appendix 10.5, row 20"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-bioenergy-021,PLTBio Sulbagut,priority_project_row,priority,named,"Appendix 10.5, row 21"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-bioenergy-022,PLTBio Tual,priority_project_row,priority,named,"Appendix 10.5, row 22"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-bioenergy-023,PLTBm Kaimana,priority_project_row,priority,named,"Appendix 10.5, row 23"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-bioenergy-024,PLTBm Langsa,priority_project_row,priority,named,"Appendix 10.5, row 24"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-bioenergy-025,PLTBm Merauke,priority_project_row,priority,named,"Appendix 10.5, row 25"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-bioenergy-026,PLTBm Sumbawa,priority_project_row,priority,named,"Appendix 10.5, row 26"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-bioenergy-027,PLTSa Bekasi,priority_project_row,priority,named,"Appendix 10.5, row 27"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-bioenergy-028,PLTSa Makassar,priority_project_row,priority,named,"Appendix 10.5, row 28"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-bioenergy-029,PLTSa Palembang,priority_project_row,priority,named,"Appendix 10.5, row 29"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-bioenergy-030,PLTSa Tangerang,priority_project_row,priority,named,"Appendix 10.5, row 30"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-bioenergy-031,PLTSa Tangerang Selatan,priority_project_row,priority,named,"Appendix 10.5, row 31"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-bioenergy-032,PLTSa Semarang,priority_project_row,priority,named,"Appendix 10.5, row 32"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-bioenergy-033,PLTSa Sulbagut,priority_project_row,priority,named,"Appendix 10.5, row 33"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-coal-retirement-001,PLTU Pelabuhan Ratu,priority_project_row,priority,named,"Appendix 10.2, row 1"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-coal-retirement-002,PLTU Cirebon-1,priority_project_row,priority,named,"Appendix 10.2, row 2"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-geothermal-001,PLTP Arjuno Welirang,priority_project_row,priority,named,"Appendix 10.3, row 1"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-geothermal-002,PLTP Baturaden (FTP2),priority_project_row,priority,named,"Appendix 10.3, row 2"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-geothermal-003,PLTP Baturaden (FTP2),priority_project_row,priority,named,"Appendix 10.3, row 3"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-geothermal-004,PLTP Baturaden (FTP2),priority_project_row,priority,named,"Appendix 10.3, row 4"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-geothermal-005,PLTP Bedugul,priority_project_row,priority,named,"Appendix 10.3, row 5"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-geothermal-006,PLTP Candi Umbul Telomoyo,priority_project_row,priority,named,"Appendix 10.3, row 6"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-geothermal-007,PLTP Cibuni (FTP2),priority_project_row,priority,named,"Appendix 10.3, row 7"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-geothermal-008,PLTP Dieng (FTP2),priority_project_row,priority,named,"Appendix 10.3, row 8"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-geothermal-009,PLTP Dieng (FTP2),priority_project_row,priority,named,"Appendix 10.3, row 9"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-geothermal-010,PLTP Dieng (FTP2),priority_project_row,priority,named,"Appendix 10.3, row 10"
IDN,cipp-2023-priority-projects,idn-cipp-2023-cpr-mirror,CIPP 2023,2023-11-21,idn-cipp-geothermal-011,PLTP Dieng (FTP2),priority_project_row,priority,named,"Appendix 10.3, row 11"
