country,source_layer,source_id,source_edition,source_cutoff,source_row_id,label,record_type,reported_status,identity_status,evidence_locator
SEN,investment-plan-annex-submissions,sen-investment-plan-annexes-mirror,Investment Plan Annexes 2025,2025-03-17,sen-annex-received-01,Super Mini grids for Rural Senegal,plan_submission_row,unknown,named,"Annex 2, p. 13, row 1; PDF page 13"
SEN,investment-plan-annex-submissions,sen-investment-plan-annexes-mirror,Investment Plan Annexes 2025,2025-03-17,sen-annex-received-02,Résilience des communautés vulnérables au changement climatique et gestion durable des ressources naturelles : Cas de l'aire marine protégée d Abéné en Basse Casamance,plan_submission_row,unknown,named,"Annex 2, p. 13, row 2; PDF page 13"
SEN,investment-plan-annex-submissions,sen-investment-plan-annexes-mirror,Investment Plan Annexes 2025,2025-03-17,sen-annex-received-03,"Installation d’unités pilote de briquetage, pour la production de briquettes de charbon alternatives au charbon de bois comme solution de lutte contre la déforestation, à proximité des forêts classées de la Casamance",plan_submission_row,unknown,named,"Annex 2, p. 13, row 3; PDF page 13"
SEN,investment-plan-annex-submissions,sen-investment-plan-annexes-mirror,Investment Plan Annexes 2025,2025-03-17,sen-annex-received-04,Airport Express: Service de taxi électriques entre AIBD et les ville sur un rayon de 70 km,plan_submission_row,unknown,named,"Annex 2, p. 13, row 4; PDF page 13"
SEN,investment-plan-annex-submissions,sen-investment-plan-annexes-mirror,Investment Plan Annexes 2025,2025-03-17,sen-annex-received-05,Electrification de 350 Villages Par Mini-Centrales Solaires,plan_submission_row,unknown,named,"Annex 2, p. 13, row 5; PDF page 13"
SEN,investment-plan-annex-submissions,sen-investment-plan-annexes-mirror,Investment Plan Annexes 2025,2025-03-17,sen-annex-received-06,Electrification de Villages Par Mini-Centrales Solaires,plan_submission_row,unknown,named,"Annex 2, p. 13, row 6; PDF page 13"
SEN,investment-plan-annex-submissions,sen-investment-plan-annexes-mirror,Investment Plan Annexes 2025,2025-03-17,sen-annex-received-07,Projet d’intégration de centrales solaires au réseau dans 600 villages par injection,plan_submission_row,unknown,named,"Annex 2, p. 13, row 7; PDF page 13"
SEN,investment-plan-annex-submissions,sen-investment-plan-annexes-mirror,Investment Plan Annexes 2025,2025-03-17,sen-annex-received-08,Eclairage général efficace,plan_submission_row,unknown,named,"Annex 2, p. 13, row 8; PDF page 13"
SEN,investment-plan-annex-submissions,sen-investment-plan-annexes-mirror,Investment Plan Annexes 2025,2025-03-17,sen-annex-received-09,Eclairage public efficace,plan_submission_row,unknown,named,"Annex 2, p. 13, row 9; PDF page 13"
SEN,investment-plan-annex-submissions,sen-investment-plan-annexes-mirror,Investment Plan Annexes 2025,2025-03-17,sen-annex-received-10,Ecofridges,plan_submission_row,unknown,named,"Annex 2, p. 13, row 10; PDF page 13"
