country,source_layer,source_id,source_edition,source_cutoff,source_row_id,label,record_type,reported_status,identity_status,evidence_locator
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,1,Skills Research Programme,register_row,D. Completed,named,"Overall - Data, Unique ID ACTIP001"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,2,JT-Mpumalanga Community Development: Organisational Development,register_row,B. Approved,named,"Overall - Data, Unique ID ACTIP002"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,3,Skills Research Programme,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID CAN001"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,4,Just Transition Support Programme,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID CAN002"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,5,Just Transition Support Programme,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID CAN003"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,6,Just Transition Support Programme,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID CAN004"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,7,JET SEP Skills Planning & Data Systems,register_row,B. Approved,named,"Overall - Data, Unique ID CAN005"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,8,JET SEP Working Group Facilitation,register_row,B. Approved,named,"Overall - Data, Unique ID CAN006"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,9,JET SEP TVET Lecturer Development,register_row,B. Approved,named,"Overall - Data, Unique ID CAN007"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,10,JET SEP Workplace-Based Learning Expansion,register_row,B. Approved,named,"Overall - Data, Unique ID CAN008"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,11,Electricity Grid Infrastructure Programme,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID DK001"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,12,Electricity Grid Infrastructure Programme,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID DK002"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,13,JT-Mpumalanga Wind Energy: Mining Rights Mapping,register_row,D. Completed,named,"Overall - Data, Unique ID DK003"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,14,Municipal Climate Resilience Programme: Alternative Service Delivery in Nomzamo,register_row,D. Completed,named,"Overall - Data, Unique ID DK004"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,15,JT-Mpumalanga Wind Energy: Mpumalanga Wind Atlas,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID DK005"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,16,Just Transition Support Programme,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID DK006"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,17,Skills Research Programme,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID DK008"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,18,Skills Research Programme,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID DK009"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,19,Skills Research Programme,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID DK010"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,20,Skills Capacity Development Initiative,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID DK011"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,21,JT-Mpumalanga Skills Development: Green Entrepreneurship Skills,register_row,D. Completed,named,"Overall - Data, Unique ID DK012"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,22,Electricity Infrastructure Development,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID DK013"
