country,project_id,financing_id,sector,stage,event_date,date_kind,source_url,publication_or_update_date,locator,retrieval_date,evidence_level,archive_status,sha256,note
Indonesia,42362-013,3083,energy,appraisal_start,2009-10-01,reported,https://www.adb.org/sites/default/files/project-documents/42362/42362-013-pcr-en.pdf,2021-02,printed i / PDF7 B.1,2026-09-14,official_original_text,unarchived,,B.1 appraisal end postdates approval; retain source chronology for review
Indonesia,42362-013,3083,energy,appraisal_end,2013-12-29,reported,https://www.adb.org/sites/default/files/project-documents/42362/42362-013-pcr-en.pdf,2021-02,printed i / PDF7 B.1,2026-09-14,official_original_text,unarchived,,B.1 appraisal end postdates approval; retain source chronology for review
Indonesia,42362-013,3083,energy,approval,2013-12-03,actual,https://www.adb.org/sites/default/files/project-documents/42362/42362-013-pcr-en.pdf,2021-02,printed i / PDF7 B.3,2026-09-14,official_original_text,unarchived,,B.1 appraisal end postdates approval; retain source chronology for review
Indonesia,42362-013,3083,energy,loan_agreement,2013-12-30,actual,https://www.adb.org/sites/default/files/project-documents/42362/42362-013-pcr-en.pdf,2021-02,printed i / PDF7 B.4,2026-09-14,official_original_text,unarchived,,B.1 appraisal end postdates approval; retain source chronology for review
Indonesia,42362-013,3083,energy,effectiveness,2014-03-30,planned,https://www.adb.org/sites/default/files/project-documents/42362/42362-013-pcr-en.pdf,2021-02,printed i / PDF7 B.5 in agreement,2026-09-14,official_original_text,unarchived,,B.1 appraisal end postdates approval; retain source chronology for review
Indonesia,42362-013,3083,energy,effectiveness,2014-09-29,actual,https://www.adb.org/sites/default/files/project-documents/42362/42362-013-pcr-en.pdf,2021-02,printed i / PDF7 B.5 actual,2026-09-14,official_original_text,unarchived,,B.1 appraisal end postdates approval; retain source chronology for review
Indonesia,42362-013,3083,energy,initial_disbursement,2015-12-14,actual,https://www.adb.org/sites/default/files/project-documents/42362/42362-013-pcr-en.pdf,2021-02,printed ii / PDF8 B.11 Loan3083,2026-09-14,official_original_text,unarchived,,B.1 appraisal end postdates approval; retain source chronology for review
Indonesia,42362-013,3083,energy,loan_closing,2019-09-30,actual,https://www.adb.org/sites/default/files/project-documents/42362/42362-013-pcr-en.pdf,2021-02,printed i / PDF7 B.7 actual,2026-09-14,official_original_text,unarchived,,B.1 appraisal end postdates approval; retain source chronology for review
Indonesia,42362-013,3083,energy,financial_closing,2020-01-09,actual,https://www.adb.org/sites/default/files/project-documents/42362/42362-013-pcr-en.pdf,2021-02,printed i / PDF7 B.8,2026-09-14,official_original_text,unarchived,,B.1 appraisal end postdates approval; retain source chronology for review
Indonesia,42362-013,8276,energy,initial_disbursement,2015-12-18,actual,https://www.adb.org/sites/default/files/project-documents/42362/42362-013-pcr-en.pdf,2021-02,printed ii / PDF8 B.11 Loan8276,2026-09-14,official_original_text,unarchived,,ASEAN Infrastructure Fund financing; separate from ADB Loan3083
India,40031-053,2725,urban water/sanitation and transport,appraisal_start,2010-10-18,reported,https://www.adb.org/sites/default/files/project-documents/40031/40031-013-pcr-en.pdf,2019-07,printed iii / PDF9 B.1,2026-09-14,official_original_text,unarchived,,Report also covers parent40031-013/M0015; these events refer only to Tranche3
India,40031-053,2725,urban water/sanitation and transport,appraisal_end,2010-11-02,reported,https://www.adb.org/sites/default/files/project-documents/40031/40031-013-pcr-en.pdf,2019-07,printed iii / PDF9 B.1,2026-09-14,official_original_text,unarchived,,Report also covers parent40031-013/M0015; these events refer only to Tranche3
India,40031-053,2725,urban water/sanitation and transport,approval,2010-12-13,actual,https://www.adb.org/sites/default/files/project-documents/40031/40031-013-pcr-en.pdf,2019-07,printed iii / PDF9 B.3,2026-09-14,official_original_text,unarchived,,Report also covers parent40031-013/M0015; these events refer only to Tranche3
India,40031-053,2725,urban water/sanitation and transport,signature,2011-03-17,actual,https://www.adb.org/sites/default/files/project-documents/40031/40031-013-pcr-en.pdf,2019-07,printed iii B.4; printed1 paragraph2 explicitly signed,2026-09-14,official_original_text,unarchived,,Report also covers parent40031-013/M0015; these events refer only to Tranche3
India,40031-053,2725,urban water/sanitation and transport,effectiveness,2011-06-16,actual,https://www.adb.org/sites/default/files/project-documents/40031/40031-013-pcr-en.pdf,2019-07,printed iii / PDF9 B.5 actual,2026-09-14,official_original_text,unarchived,,Report also covers parent40031-013/M0015; these events refer only to Tranche3
India,40031-053,2725,urban water/sanitation and transport,initial_disbursement,2011-08-17,actual,https://www.adb.org/sites/default/files/project-documents/40031/40031-013-pcr-en.pdf,2019-07,printed iv / PDF10 B.10,2026-09-14,official_original_text,unarchived,,Report also covers parent40031-013/M0015; these events refer only to Tranche3
India,40031-053,2725,urban water/sanitation and transport,loan_closing,2015-06-30,planned,https://www.adb.org/sites/default/files/project-documents/40031/40031-013-pcr-en.pdf,2019-07,printed iii / PDF9 B.7 in agreement,2026-09-14,official_original_text,unarchived,,Report also covers parent40031-013/M0015; these events refer only to Tranche3
India,40031-053,2725,urban water/sanitation and transport,loan_closing,2017-06-30,actual,https://www.adb.org/sites/default/files/project-documents/40031/40031-013-pcr-en.pdf,2019-07,printed iii / PDF9 B.7 actual,2026-09-14,official_original_text,unarchived,,Report also covers parent40031-013/M0015; these events refer only to Tranche3
India,40031-053,2725,urban water/sanitation and transport,financial_closing,2017-11-24,actual,https://www.adb.org/sites/default/files/project-documents/40031/40031-013-pcr-en.pdf,2019-07,printed iii / PDF9 B.8,2026-09-14,official_original_text,unarchived,,Report also covers parent40031-013/M0015; these events refer only to Tranche3
India,40031-053,2725,urban water/sanitation and transport,civil_contract_award,2011-02-24,actual,https://www.adb.org/sites/default/files/project-documents/40031/40031-013-pcr-en.pdf,2019-07,printed vi / PDF12 C.4 actual,2026-09-14,official_original_text,unarchived,,Report also covers parent40031-013/M0015; these events refer only to Tranche3
