unit,method,query_or_url,source_id,outcome,retrieved_on,bytes_collected,sha256
1,web search,site.gov.uk 2021 South Africa just energy transition partnership negotiations investment plan 2022,,Found South Africa declaration and plan-publication leads; snippets only,2026-09-14,no,
2,web search,site.consilium.europa.eu G7 2022 India Indonesia Vietnam Senegal just energy transition partnerships,,Found G7 candidate statements and Council 14114/22 original route; snippets only,2026-09-14,no,
3,web open,https://data.consilium.europa.eu/doc/document/ST-14114-2022-INIT/en/pdf,S01,Original text extracted,2026-09-14,no,
4,web open,https://www.gov.uk/government/news/joint-statement-international-just-energy-transition-partnership,S02,Original text extracted,2026-09-14,no,
5,web open,https://www.presidency.gov.za/president-ramaphosa-outlines-south-africas-just-energy-transition-investment-plan,S03,Original text extracted,2026-09-14,no,
6,web search,site.gov.za September 2021 climate envoys finance South Africa just transition,,Found dated South Africa climate-envoy discussion original route; snippets only,2026-09-14,no,
7,web search,site.gov.uk Indonesia Vietnam Senegal JETP investment plan launch November 2023 June 2025,,Found Indonesia/Viet Nam/Senegal launch and plan notices; snippets only,2026-09-14,no,
8,web open,https://www.gov.za/news/media-statements/forestry-fisheries-and-environment-meets-climate-envoys-ahead-cop26-30-sep,S04,Original text extracted,2026-09-14,no,
9,web open,https://www.gov.uk/government/news/indonesia-just-energy-transition-partnership-launched-at-g20,S05,Original text extracted,2026-09-14,no,
10,web open,https://www.gov.uk/government/publications/vietnams-just-energy-transition-partnership-political-declaration/political-declaration-on-establishing-the-just-energy-transition-partnership-with-viet-nam,S06,Original text extracted; partial display,2026-09-14,no,
11,web open,https://www.gov.uk/government/news/senegal-and-the-international-partners-group-announce-just-energy-transition-partnership,S07,Original text extracted,2026-09-14,no,
12,web open,https://jetp.id/news/just-energy-transition-partnership-jetp-investment-plan-launched-indonesian-government-aims-for-swift-implementation,S08,Original text extracted,2026-09-14,no,
13,web open,https://www.gov.uk/government/news/viet-nam-just-energy-transition-partnership-joint-statement,S09,Original text extracted,2026-09-14,no,
14,web search,JETP country selection criteria scores threshold G7 March 2022 allocation rules official,,Found Indonesia project-screening FAQ; no country score/threshold rule retrieved,2026-09-14,no,
15,web search,Senegal JETP plan investissement lancement 2025 site.gouv.sn,,Found Senegal plan repositories and water-energy-agriculture official notice; snippets only,2026-09-14,no,
16,web search,India JETP partnership negotiations parliament not agreed Germany 2024 2025 site.gov.in,,No verified India conclusion/closure record; found parallel India-Germany government statement route,2026-09-14,no,
17,web open,https://jetp.id/about/how-are-projects-selected-and-prioritized-in-jetp,S10,Original text extracted,2026-09-14,no,
18,web open,https://www.pmindia.gov.in/en/news_updates/joint-statement-6th-india-germany-inter-governmental-consultations/,S11,Original text extracted,2026-09-14,no,
19,web open,https://www.gov.uk/government/publications/vietnams-just-energy-transition-partnership-political-declaration/political-declaration-on-establishing-the-just-energy-transition-partnership-with-viet-nam,S06,Original text extracted; partial display,2026-09-14,no,
20,shell curl,https://www.itie.sn/wp-content/uploads/2025/06/20250402-ENERCAP-Livrable-L4-v5-clean-1.pdf,L01,DNS resolution failed; no retry or bytes,2026-09-14,no,
