country,unit,stage,cohort,count,validation
AF,component,actual_start,unvalidated_or_missing,5,"source reported, not document validated"
AF,programme,actual_start,unvalidated_or_missing,2,"source reported, not document validated"
AG,programme,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
AL,component,actual_start,unvalidated_or_missing,15,"source reported, not document validated"
AL,programme,actual_start,unvalidated_or_missing,25,"source reported, not document validated"
AM,component,actual_start,unvalidated_or_missing,35,"source reported, not document validated"
AM,programme,actual_start,unvalidated_or_missing,22,"source reported, not document validated"
AO,component,actual_start,unvalidated_or_missing,14,"source reported, not document validated"
AO,programme,actual_start,unvalidated_or_missing,25,"source reported, not document validated"
AR,component,actual_start,unvalidated_or_missing,5,"source reported, not document validated"
AR,programme,actual_start,unvalidated_or_missing,17,"source reported, not document validated"
AS,component,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
AS,programme,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
AZ,component,actual_start,unvalidated_or_missing,7,"source reported, not document validated"
AZ,programme,actual_start,unvalidated_or_missing,8,"source reported, not document validated"
BA,component,actual_start,unvalidated_or_missing,50,"source reported, not document validated"
BA,programme,actual_start,unvalidated_or_missing,24,"source reported, not document validated"
BD,component,actual_start,unvalidated_or_missing,414,"source reported, not document validated"
BD,programme,actual_start,unvalidated_or_missing,112,"source reported, not document validated"
BF,component,actual_start,unvalidated_or_missing,2,"source reported, not document validated"
BF,programme,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
BH,component,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
BI,component,actual_start,unvalidated_or_missing,53,"source reported, not document validated"
BI,programme,actual_start,unvalidated_or_missing,29,"source reported, not document validated"
BJ,component,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
BJ,programme,actual_start,unvalidated_or_missing,2,"source reported, not document validated"
BO,component,actual_start,unvalidated_or_missing,2,"source reported, not document validated"
BO,programme,actual_start,unvalidated_or_missing,16,"source reported, not document validated"
BR,component,actual_start,unvalidated_or_missing,46,"source reported, not document validated"
BR,programme,actual_start,unvalidated_or_missing,47,"source reported, not document validated"
BS,component,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
BS,programme,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
BT,programme,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
BW,component,actual_start,unvalidated_or_missing,3,"source reported, not document validated"
BW,programme,actual_start,unvalidated_or_missing,14,"source reported, not document validated"
BY,component,actual_start,unvalidated_or_missing,8,"source reported, not document validated"
BY,programme,actual_start,unvalidated_or_missing,21,"source reported, not document validated"
BZ,component,actual_start,unvalidated_or_missing,4,"source reported, not document validated"
BZ,programme,actual_start,unvalidated_or_missing,15,"source reported, not document validated"
CA,component,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
CD,component,actual_start,unvalidated_or_missing,293,"source reported, not document validated"
CD,programme,actual_start,unvalidated_or_missing,93,"source reported, not document validated"
CF,component,actual_start,unvalidated_or_missing,40,"source reported, not document validated"
CF,programme,actual_start,unvalidated_or_missing,5,"source reported, not document validated"
CG,component,actual_start,unvalidated_or_missing,3,"source reported, not document validated"
CG,programme,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
CI,component,actual_start,unvalidated_or_missing,7,"source reported, not document validated"
CI,programme,actual_start,unvalidated_or_missing,12,"source reported, not document validated"
CL,component,actual_start,unvalidated_or_missing,12,"source reported, not document validated"
CL,programme,actual_start,unvalidated_or_missing,8,"source reported, not document validated"
CM,component,actual_start,unvalidated_or_missing,16,"source reported, not document validated"
CM,programme,actual_start,unvalidated_or_missing,15,"source reported, not document validated"
CN,component,actual_start,unvalidated_or_missing,308,"source reported, not document validated"
CN,programme,actual_start,unvalidated_or_missing,190,"source reported, not document validated"
CO,component,actual_start,unvalidated_or_missing,64,"source reported, not document validated"
CO,programme,actual_start,unvalidated_or_missing,42,"source reported, not document validated"
CR,component,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
CR,programme,actual_start,unvalidated_or_missing,15,"source reported, not document validated"
CU,component,actual_start,unvalidated_or_missing,2,"source reported, not document validated"
CU,programme,actual_start,unvalidated_or_missing,23,"source reported, not document validated"
CV,component,actual_start,unvalidated_or_missing,2,"source reported, not document validated"
CV,programme,actual_start,unvalidated_or_missing,3,"source reported, not document validated"
DJ,component,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
DJ,programme,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
DM,component,actual_start,unvalidated_or_missing,6,"source reported, not document validated"
DM,programme,actual_start,unvalidated_or_missing,7,"source reported, not document validated"
DO,component,actual_start,unvalidated_or_missing,2,"source reported, not document validated"
DO,programme,actual_start,unvalidated_or_missing,10,"source reported, not document validated"
DZ,component,actual_start,unvalidated_or_missing,3,"source reported, not document validated"
DZ,programme,actual_start,unvalidated_or_missing,15,"source reported, not document validated"
EC,component,actual_start,unvalidated_or_missing,2,"source reported, not document validated"
EC,programme,actual_start,unvalidated_or_missing,9,"source reported, not document validated"
EG,component,actual_start,unvalidated_or_missing,18,"source reported, not document validated"
EG,programme,actual_start,unvalidated_or_missing,18,"source reported, not document validated"
ER,component,actual_start,unvalidated_or_missing,9,"source reported, not document validated"
ER,programme,actual_start,unvalidated_or_missing,13,"source reported, not document validated"
ET,component,actual_start,unvalidated_or_missing,465,"source reported, not document validated"
ET,programme,actual_start,unvalidated_or_missing,128,"source reported, not document validated"
FJ,component,actual_start,unvalidated_or_missing,7,"source reported, not document validated"
FJ,programme,actual_start,unvalidated_or_missing,12,"source reported, not document validated"
GA,programme,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
GB,component,actual_start,unvalidated_or_missing,11,"source reported, not document validated"
GB,programme,actual_start,unvalidated_or_missing,8,"source reported, not document validated"
GD,component,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
GD,programme,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
GE,component,actual_start,unvalidated_or_missing,30,"source reported, not document validated"
GE,programme,actual_start,unvalidated_or_missing,17,"source reported, not document validated"
GH,component,actual_start,unvalidated_or_missing,315,"source reported, not document validated"
GH,programme,actual_start,unvalidated_or_missing,88,"source reported, not document validated"
GM,component,actual_start,unvalidated_or_missing,11,"source reported, not document validated"
GM,programme,actual_start,unvalidated_or_missing,15,"source reported, not document validated"
GN,component,actual_start,unvalidated_or_missing,3,"source reported, not document validated"
GN,programme,actual_start,unvalidated_or_missing,6,"source reported, not document validated"
GR,component,actual_start,unvalidated_or_missing,4,"source reported, not document validated"
GR,programme,actual_start,unvalidated_or_missing,3,"source reported, not document validated"
GT,component,actual_start,unvalidated_or_missing,3,"source reported, not document validated"
GT,programme,actual_start,unvalidated_or_missing,20,"source reported, not document validated"
GW,programme,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
GY,component,actual_start,unvalidated_or_missing,9,"source reported, not document validated"
GY,programme,actual_start,unvalidated_or_missing,16,"source reported, not document validated"
HN,component,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
HN,programme,actual_start,unvalidated_or_missing,6,"source reported, not document validated"
HT,component,actual_start,unvalidated_or_missing,43,"source reported, not document validated"
HT,programme,actual_start,unvalidated_or_missing,21,"source reported, not document validated"
ID,component,actual_start,unvalidated_or_missing,218,"source reported, not document validated"
ID,programme,actual_start,unvalidated_or_missing,89,"source reported, not document validated"
IL,component,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
IN,component,actual_start,unvalidated_or_missing,492,"source reported, not document validated"
IN,programme,actual_start,unvalidated_or_missing,166,"source reported, not document validated"
IQ,component,actual_start,unvalidated_or_missing,64,"source reported, not document validated"
IQ,programme,actual_start,unvalidated_or_missing,45,"source reported, not document validated"
IR,component,actual_start,unvalidated_or_missing,2,"source reported, not document validated"
IR,programme,actual_start,unvalidated_or_missing,3,"source reported, not document validated"
JM,component,actual_start,unvalidated_or_missing,59,"source reported, not document validated"
JM,programme,actual_start,unvalidated_or_missing,29,"source reported, not document validated"
JO,component,actual_start,unvalidated_or_missing,113,"source reported, not document validated"
JO,programme,actual_start,unvalidated_or_missing,50,"source reported, not document validated"
JP,component,actual_start,unvalidated_or_missing,3,"source reported, not document validated"
JP,programme,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
KE,component,actual_start,unvalidated_or_missing,507,"source reported, not document validated"
KE,programme,actual_start,unvalidated_or_missing,105,"source reported, not document validated"
KG,component,actual_start,unvalidated_or_missing,47,"source reported, not document validated"
KG,programme,actual_start,unvalidated_or_missing,47,"source reported, not document validated"
KH,component,actual_start,unvalidated_or_missing,46,"source reported, not document validated"
KH,programme,actual_start,unvalidated_or_missing,33,"source reported, not document validated"
KI,programme,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
KM,component,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
KP,component,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
KP,programme,actual_start,unvalidated_or_missing,8,"source reported, not document validated"
KZ,component,actual_start,unvalidated_or_missing,7,"source reported, not document validated"
KZ,programme,actual_start,unvalidated_or_missing,15,"source reported, not document validated"
LA,component,actual_start,unvalidated_or_missing,23,"source reported, not document validated"
LA,programme,actual_start,unvalidated_or_missing,26,"source reported, not document validated"
LB,component,actual_start,unvalidated_or_missing,86,"source reported, not document validated"
LB,programme,actual_start,unvalidated_or_missing,48,"source reported, not document validated"
LC,component,actual_start,unvalidated_or_missing,3,"source reported, not document validated"
LC,programme,actual_start,unvalidated_or_missing,5,"source reported, not document validated"
LK,component,actual_start,unvalidated_or_missing,42,"source reported, not document validated"
LK,programme,actual_start,unvalidated_or_missing,32,"source reported, not document validated"
LR,component,actual_start,unvalidated_or_missing,35,"source reported, not document validated"
