unit,route,purpose,status,retrieved,url_or_query,archive_path,sha256,bytes
1,web_search,MA roster,Search results; no complete roster or period definition established,2026-09-14,site.kfw-entwicklungsbank.de 2018 Marokko Verträge Projektdatenbank,data/jetp/audit-evidence/0738-pilot/search-batch-1.json,848a6a3e9d38fcabbaf00c08e2d77654a5b4bd3ae046da33ddc01b4faed0793c,36843
2,web_search,IN roster,Search results; no complete roster or period definition established,2026-09-14,site.kfw-entwicklungsbank.de 2018 India contracts project database,data/jetp/audit-evidence/0738-pilot/search-batch-1.json,848a6a3e9d38fcabbaf00c08e2d77654a5b4bd3ae046da33ddc01b4faed0793c,36843
3,web_search,changed FAQ indexed route,Search results; no complete roster or period definition established,2026-09-14,site.transparenzportal.bund.de FAQ IATI vierteljährlich Auszahlungen,data/jetp/audit-evidence/0738-pilot/search-batch-1.json,848a6a3e9d38fcabbaf00c08e2d77654a5b4bd3ae046da33ddc01b4faed0793c,36843
4,web_search,BMZ definitions,Search results; no complete roster or period definition established,2026-09-14,site.bmz.de IATI Transaktionsdatum quartalsweise jährlich,data/jetp/audit-evidence/0738-pilot/search-batch-1.json,848a6a3e9d38fcabbaf00c08e2d77654a5b4bd3ae046da33ddc01b4faed0793c,36843
5,HTTP_GET,2020_scope,HTTP 200,2026-09-14T17:57:10.775059+00:00,https://www.kfw-entwicklungsbank.de/International-financing/KfW-Development-Bank/About-us/News/News-Details_593728.html,data/jetp/audit-evidence/0738-pilot/05-2020_scope.html,88bf8a57aaefe06dbe4a1cb78c5a7485b2bc372123be94d0e4057bf03915b33e,42491
6,HTTP_GET,current_scope,HTTP 200,2026-09-14T17:57:10.894878+00:00,https://www.kfw-entwicklungsbank.de/International-financing/KfW-Development-Bank/Transparency/,data/jetp/audit-evidence/0738-pilot/06-current_scope.html,40cb989b12a6b78373725af19c27b38a579e7c0f283478f048f6f18d42b7b39f,36352
7,HTTP_GET,BMZ_scope,HTTP 200,2026-09-14T17:57:11.224329+00:00,https://www.bmz.de/de/ministerium/zahlen-fakten/bmz-transparenzportal,data/jetp/audit-evidence/0738-pilot/07-BMZ_scope.html,3fb99b424a4d5bb871411056883c81b95e25b9687b978ba9c8f8be3f95d94919,91387
8,HTTP_GET,catalogue,HTTP 200,2026-09-14T17:57:11.730294+00:00,https://data.gov.de/suche/daten/bmz-projektdaten-iati-meldung,data/jetp/audit-evidence/0738-pilot/08-catalogue.html,3359fb65add2c6108dd91a6f29202d2b110570d02d7ad2cd50ddcd5a38634a8e,54024
9,web_search,historical roster,No complete roster / exact-ID original identified,2026-09-14,site:kfw-entwicklungsbank.de 2018 Marokko Finanzierungsverträge Liste,data/jetp/audit-evidence/0738-pilot/search-batch-2.json,5d4e565dffb49bec0e19efee1cc4c729510dcc59d997ca365b02f03062b654af,35846
10,web_search,historical roster,No complete roster / exact-ID original identified,2026-09-14,site:kfw-entwicklungsbank.de 2018 India signed financing agreements list,data/jetp/audit-evidence/0738-pilot/search-batch-2.json,5d4e565dffb49bec0e19efee1cc4c729510dcc59d997ca365b02f03062b654af,35846
11,web_search,mandatory old challenge,No complete roster / exact-ID original identified,2026-09-14,"site:kfw-entwicklungsbank.de ""199170366""",data/jetp/audit-evidence/0738-pilot/search-batch-2.json,5d4e565dffb49bec0e19efee1cc4c729510dcc59d997ca365b02f03062b654af,35846
12,web_search,mandatory old challenge,No complete roster / exact-ID original identified,2026-09-14,"site:kfw-entwicklungsbank.de ""199370321""",data/jetp/audit-evidence/0738-pilot/search-batch-2.json,5d4e565dffb49bec0e19efee1cc4c729510dcc59d997ca365b02f03062b654af,35846
13,HTTP_GET_changed_route,DE-1-201366764,HTTP 200,2026-09-14T17:57:49.374847+00:00,https://www.kfw-entwicklungsbank.de/ipfz/Projektdatenbank/Windprogramm-Marokko-Iklu-Phase-Iii-32652.htm,data/jetp/audit-evidence/0738-pilot/13-DE-1-201366764.html,d73568383e63570c012bad6cb0abaaffeccb0b38573c30a3f40f69e0c6922b6d,39016
14,HTTP_GET_changed_route,DE-1-201365154,HTTP 200,2026-09-14T17:57:49.499605+00:00,https://www.kfw-entwicklungsbank.de/ipfz/Projektdatenbank/Klimaanpassung-In-Waldoekosystemen-Himachal-Pradesh-30347.htm,data/jetp/audit-evidence/0738-pilot/14-DE-1-201365154.html,fa8dc2c318ce707786aa681151e6da01810f5e2091ee2c0dabd41355e1683012,38110
15,web_search,sample rank 1 DE-1-200466276,No results,2026-09-14,"site:kfw-entwicklungsbank.de ""200466276""",data/jetp/audit-evidence/0738-pilot/search-batch-3.json,1048ddaf93c0dfa7b1304db3ffef722f4a37db0018ad2c63d0062118c5d92b42,71
16,HTTP_GET,sample rank 2 DE-1-200366617,HTTP 200,2026-09-14T17:58:34.406599+00:00,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D_EN/Albanien_Übertragungsleitung_2016_E.pdf,data/jetp/audit-evidence/0738-pilot/16-DE-1-200366617.pdf,4dbafde3373526066ebc7428df77416d83a498cd3b7a7f4407eba3e399ef9ced,234562
